hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
1598;40.4392;0.0181;0.943;5716;0.953;0.856;;
1599;116.1826;0.1334;3.211;5849;1.102;1.288;;
1600;3.5099;0.0674;2.334;4192;23.698;323.668;;
1602;2.8742;0.2077;7.260;4028;;;;
1603;3.5297;0.0371;1.051;;;;;
1604;1.2621;0.0212;1.007;4455;;;;
1609;2.1797;0.0321;1.166;4250;;;;
1611;5.8297;0.0358;1.071;4761;10.983;57.351;;
1619;5.7409;0.0287;1.180;4549;;;;
1623;19.8095;0.0188;1.041;6111;1.122;1.484;;
1628;2.2626;0.0200;0.933;4698;;;;
1629;10.9489;0.0221;0.956;;1.682;5.887;;
1630;5.9025;0.0716;0.889;;3.038;240.821;;
1639;3.0747;0.0230;1.022;;;;;
1640;11.3555;0.0210;0.998;4934;3.989;8.307;;
1641;3.5912;0.0238;0.964;;;;;
1645;7.0581;0.0954;1.126;4245;;;;
1647;10.0847;0.0585;1.040;;2.634;73.718;;
1652;0.8649;0.0231;0.989;4250;;;1.029;1
1656;3.3335;0.0189;0.943;4118;;;;
1657;4.4798;0.0628;0.938;3851;;;2.558;1
1660;7.2305;0.0279;0.999;;3.524;29.503;;
1664;6.5925;0.0208;0.956;4896;6.096;24.666;;
1667;9.1969;0.0231;0.975;6060;3.395;13.973;;
1669;12.9267;0.0259;1.008;6526;2.027;6.432;;
1670;5.2110;0.0792;1.843;;2.807;156.319;;
1671;1.7996;0.0415;0.936;;3.734;472.253;;
1674;31.7883;0.0228;1.203;5229;0.744;0.373;;
1684;12.1134;0.0207;1.009;4808;4.983;12.273;;
1686;19.9513;0.0739;0.852;6129;;;0.600;1
1688;9.6517;0.0261;1.061;;;;;
1689;2.2274;0.0214;1.029;3810;;;;
1691;11.7755;0.0261;0.940;6121;2.331;6.869;;
1694;2.0211;0.0189;1.007;3768;;;;
1700;;;;;;;;
1704;15.1347;0.0256;1.045;;1.351;2.967;;
1708;9.5724;0.0800;0.883;4806;13.270;94.548;;
1714;6.1669;0.0303;1.125;;1.891;33.930;;
1725;5.2185;0.1682;8.231;4850;;;;
1728;3.9694;0.3284;2.646;;;;9.700;1
1730;4.1179;0.0262;1.001;;;;;
1732;16.7431;0.0248;1.033;6067;1.550;2.626;;
1736;15.7950;0.0202;0.930;6072;1.538;3.142;;
1748;4.0507;0.0196;1.014;7453;4.003;38.333;;
1751;3.0155;0.0159;1.026;4425;;;;
1755;6.3147;0.0364;0.995;;2.515;60.381;;
1756;3.0145;0.0169;0.932;4350;28.939;313.737;;
1760;9.1354;0.0190;0.917;4950;4.859;13.410;;
1765;2.9988;0.0269;0.978;4336;20.123;180.088;;
1766;11.0951;0.0186;1.023;4629;7.304;20.767;;
1769;2.4391;0.0202;0.925;3912;;;;
1772;5.5453;0.0286;0.989;4425;19.112;179.809;;
1794;3.2829;0.0163;0.930;5010;;;;
1795;14.3745;0.0215;1.024;;1.945;7.697;;
1799;7.6629;0.0265;0.996;;2.287;43.081;;
1803;46.8742;0.0270;1.028;5702;1.072;1.068;;
1804;2.6275;0.0205;1.027;3931;50.999;945.371;;
1813;24.6955;0.0216;0.941;5770;1.194;1.317;;
1818;3.4397;0.0262;0.908;8139;;;;
1821;4.0773;0.0673;0.810;3834;51.306;1393.220;;
1828;2.0583;0.0169;1.007;3918;;;;
1830;5.6578;0.0413;0.990;;2.596;141.903;;
1838;;;;;;;;
1840;3.3125;0.0271;1.319;;;;;
1844;2.1179;0.0176;1.028;3964;;;;
1849;4.5927;0.0370;1.194;4250;;;;
1854;5.8725;0.0303;1.177;4780;9.455;52.416;;
1858;5.2502;0.0424;1.463;4486;;;;
1862;4.0382;0.0162;0.965;4797;11.554;60.102;;
1873;3.3747;0.0251;0.985;4757;10.056;111.650;;
1877;11.0739;0.0233;1.082;5131;;;;
